Brand;Title;Kilometer;Gas Type;Gear Box;Year;Price
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Distinctive;174 000;Diesel;Manual;2011;6 250
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Distinctive S&S;191 236;Diesel;Manual;2012;7 999
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Sport;116 777;Diesel;Manual;2018;14 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive;179 646;Diesel;Manual;2013;10 950
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Progression;170 000;Diesel;Manual;2010;6 999
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Distinctive;202 000;Diesel;Manual;2012;6 990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTDM 16V Super;48 903;Diesel;Manual;2018;11 999
Alfa Romeo;Alfa Romeo Tonale 1.5 Hybrid Edizione Speciale;27 183;Híbrido (Gasolina);Automática;2022;31 990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Distinctive S&S;217 000;Diesel;Manual;2012;8 990
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Sprint AT8;11 717;Diesel;Automática;2022;55 450
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Progression S&S;107 873;Diesel;Manual;2012;9 990
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Sport;89 690;Diesel;Manual;2019;16 990
Alfa Romeo;Alfa Romeo Junior Elettrica Speciale;100;Eléctrico;Automática;2024;44 750
Alfa Romeo;Alfa Romeo Giulia 2.2 D Super AT8;78 079;Diesel;Automática;2019;26 490
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Sprint AT8;1;Diesel;Automática;2023;58 250
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;57 358;Diesel;Automática;2022;39 500
Alfa Romeo;Alfa Romeo 159 Sportwagon 2.0 JTDm Distinctive P.Sport+;229 244;Diesel;Manual;2011;9 490
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8 Q4;155 000;Diesel;Automática;2017;26 490
